phase;name;index;predecessors;type;microProjects;smallProjects;avgProjects;bigProjects;veryBigProjects;hugeProjects;category;discipline;description;author
Inception;Inception;1;;Phase;;;;;;;;-;W tej fazie nalezy skupic sie na zrozumieniu zakresu projektu. ;Adrian MALIK
Inception;Inception Iteration [n];2;;Activity;0;0;0;1;1;1;"mikro male -  nie wystepuje; male - nie wystepuje; srednie - nie wystepuje; duze - wystepuje; bardzo duze - wystepuje; ogromne - wystepuje";-;Obejmuje ona czynnosci wykonywane zwykle podczas jednej iteracji w fazie poczatkowej. Nadrzednym celem fazy poczatkowej jest osiagniecie przez wszystkich interesariuszy zgodnosci co do celow cyklu zycia projektu. Faza poczatkowa ma znaczenie przede wszystkim w przypadku nowych przedsiewziec rozwojowych, w ktorych wystepuja znaczace ryzyka biznesowe i zwiazane z wymaganiami, ktore musza zostac wyeliminowane przed przystapieniem do realizacji projektu. W przypadku projektow polegajacych na ulepszaniu istniejacego systemu faza poczatkowa jest krotsza, ale nadal koncentruje sie na zapewnieniu, ze projekt jest wart realizacji i mozliwy do wykonania.;Adrian MALIK
Inception;Conceive New Project;3;;Activity;0;0;0;1;1;1;"mikro male -  nie wystepuje; male - nie wystepuje; srednie - nie wystepuje; duze - wystepuje; bardzo duze - wystepuje; ogromne - wystepuje";Modelowanie biznesowe;To dzialanie prowadzi projekt od poczatkowego zalazka pomyslu do punktu, w ktorym mozna podjac uzasadniona decyzje o kontynuowaniu lub zaniechaniu projektu.;Adrian MALIK
Inception;Identify and Assess Risks;4;;Task;0;0;1;1;1;1;"mikro male -  nie wystepuje; male - nie wystepuje; srednie - wystepuje; duze - wystepuje; bardzo duze - wystepuje; ogromne - wystepuje";Analiza i projektowanie;Zadanie to opisuje sposob identyfikacji, analizy i ustalania priorytetow ryzyka dla projektu, okreslania odpowiednich strategii zarzadzania ryzykiem oraz uwzgledniania ich w Liscie ryzyka dla projektu.;Adrian MALIK
Inception;Develop Business Case;5;;Task;0;0;0;0;1;1;"mikro male -  nie wystepuje; male - nie wystepuje; srednie - nie wystepuje; duze - nie wystepuje; bardzo duze - wystepuje; ogromne - wystepuje";Modelowanie biznesowe;Zadanie to okresla, w jaki sposob nalezy opracowac Uzasadnienie Biznesowe, identyfikujac podstawowe aspekty produktowe, biznesowe i finansowe rozwoju nowego produktu, a takze glowne ograniczenia i opcje, ktore nalezy rozwazyc.;Adrian MALIK
Inception;Initiate Project;6;;Task;1;1;1;1;1;1;"mikro male -  wystepuje; male - wystepuje; srednie - wystepuje; duze - wystepuje; bardzo duze - wystepuje; ogromne - wystepuje";Modelowanie biznesowe;W tym zadaniu opisano, w jaki sposob nalezy obsadzic zespol, ktory okresli ogolny plan cyklu zycia oraz kryteria pomiaru powodzenia projektu.;Adrian MALIK
Inception;Project Approval Review;7;;Task;0;0;1;1;1;1;"mikro male -  nie wystepuje; male - nie wystepuje; srednie - wystepuje; duze - wystepuje; bardzo duze - wystepuje; ogromne - wystepuje";Modelowanie biznesowe;Zadanie to opisuje, jak z biznesowego punktu widzenia okreslic, czy warto inwestowac w ten projekt.;Adrian MALIK
Inception;Prepare Project Environments;8;;Activity;0;0;1;1;1;1;"mikro male -  nie wystepuje; male - nie wystepuje; srednie - wystepuje; duze - wystepuje; bardzo duze - wystepuje; ogromne - wystepuje";srodowisko;Obejmuje to przygotowanie roznych srodowisk projektowych na potrzeby projektu, w tym odpowiednie zarzadzanie konfiguracja i dzialania dyscyplinujace srodowisko.;Adrian MALIK
Inception;Prepare Environment for Project;9;;Activity;0;0;0;1;1;1;"mikro male -  nie wystepuje; male - nie wystepuje; srednie - nie wystepuje; duze - wystepuje; bardzo duze - wystepuje; ogromne - wystepuje";srodowisko;To dzialanie przygotowuje srodowisko rozwojowe dla projektu, przy czym srodowisko rozwojowe obejmuje zarowno proces, jak i narzedzia.;Adrian MALIK
Inception;Tailor the Development Process for the Project ;10;;Task;0;0;0;1;1;1;"mikro male -  nie wystepuje; male - nie wystepuje; srednie - nie wystepuje; duze - wystepuje; bardzo duze - wystepuje; ogromne - wystepuje";srodowisko;W ramach tego zadania proces rozwoju jest dostosowywany do specyficznych potrzeb projektu.;Adrian MALIK
Inception;Develop Development Case;11;;Task;1;1;1;1;1;1;"mikro male -  wystepuje; male - wystepuje; srednie - wystepuje; duze - wystepuje; bardzo duze - wystepuje; ogromne - wystepuje";srodowisko;Ten produkt roboczy opisuje proces, ktory nalezy stosowac w projekcie, aby uzyskac pozadane rezultaty. Ten produkt roboczy jest rowniez okreslany mianem Procesu tworzenia oprogramowania.;Adrian MALIK
Inception;Prepare Templates for the Project;12;;Task;0;0;0;1;1;1;"mikro male -  nie wystepuje; male - nie wystepuje; srednie - nie wystepuje; duze - wystepuje; bardzo duze - wystepuje; ogromne - wystepuje";Analiza i projektowanie;Przygotuj szablony dla projektu;Adrian MALIK
Inception;Prepare Guidelines for the Project;13;;Task;0;0;1;1;1;1;"mikro male -  nie wystepuje; male - nie wystepuje; srednie - wystepuje; duze - wystepuje; bardzo duze - wystepuje; ogromne - wystepuje";Analiza i projektowanie;Przygotuj wytyczne dla projektu;Adrian MALIK
Inception;Select and Acquire Tools;14;;Task;0;0;0;1;1;1;"mikro male -  nie wystepuje; male - nie wystepuje; srednie - nie wystepuje; duze - wystepuje; bardzo duze - wystepuje; ogromne - wystepuje";srodowisko;Wybor i nabycie narzedzi;Adrian MALIK
Inception;Create Project Configuration Management (CM) Environments;15;;Activity;0;0;1;1;1;1;"mikro male -  nie wystepuje; male - nie wystepuje; srednie - wystepuje; duze - wystepuje; bardzo duze - wystepuje; ogromne - wystepuje";srodowisko;W ramach tego dzialania tworzy sie srodowisko, w ktorym mozna opracowac, zbudowac i udostepnic interesariuszom produkt calosciowy.;Adrian MALIK
